alcohol,chlorides,citric acid,density,pH,sulphates,total sulfur dioxide,volatile acidity,quality
8.6,0.057,0.39,0.9999,3.21,0.3600000143051147,149.0,0.24,5
9.6,0.052,0.44,0.9955,3.14,0.4099999964237213,156.0,0.34,5
10.5,0.054,0.41,0.9948,3.48,0.6200000047683716,166.0,0.2,6
9.4,0.053,0.28,0.99489,3.06,0.5,132.0,0.25,6
8.9,0.044,0.2,0.99862,3.22,0.4600000083446502,113.0,0.22,6
10.5,0.045,0.32,0.9972,3.22,0.4199999868869781,153.0,0.23,5
13.0,0.045,0.26,0.98952,3.24,0.4799999892711639,129.0,0.35,7
10.3,0.054,0.39,0.9941,3.27,0.449999988079071,91.0,0.18,6
10.8,0.037,0.3,0.9939,3.24,0.5099999904632568,120.0,0.2,5
10.6,0.049,0.49,0.9952,3.18,0.4699999988079071,152.0,0.12,6
11.3,0.042,0.3,0.9911,3.05,0.5600000023841858,104.0,0.24,7
9.2,0.044,0.25,0.998,2.91,0.4600000083446502,149.0,0.16,6
10.9,0.031,0.29,0.99194,3.0,0.5400000214576721,98.0,0.23,6
10.9,0.038,0.34,0.99432,3.11,0.3400000035762787,84.0,0.26,6
9.9,0.045,0.35,0.992,3.34,0.6800000071525574,167.0,0.35,6
9.6,0.086,0.19,0.993,2.83,0.4399999976158142,130.0,0.31,5
11.5,0.044,0.24,0.9927,2.99,0.2800000011920929,159.0,0.22,6
10.6,0.047,0.29,0.99243,3.28,0.449999988079071,100.0,0.2,6
12.5,0.043,0.29,0.9902,3.16,0.3100000023841858,114.0,0.26,6
10.6,0.038,0.49,0.9952,3.02,0.3300000131130218,163.0,0.24,6
11.1,0.039,0.32,0.99163,2.96,0.5199999809265137,68.0,0.25,6
12.1,0.03,0.26,0.98894,3.03,0.4099999964237213,101.0,0.28,6
12.2,0.039,0.39,0.9928,3.21,0.3499999940395355,163.0,0.46,7
9.7,0.048,0.25,0.9975,3.12,0.3700000047683716,149.0,0.18,5
10.8,0.037,0.28,0.9931,3.41,0.4600000083446502,133.0,0.17,7
10.2,0.044,0.29,0.99166,3.1,0.3799999952316284,115.0,0.15,5
9.6,0.094,0.3,0.997,3.09,0.4399999976158142,97.0,0.45,5
10.3,0.043,0.39,0.9918,3.23,0.5299999713897705,67.0,0.19,6
11.6,0.043,0.48,0.9938,2.9,0.3799999952316284,73.0,0.31,5
12.4,0.054,0.27,0.9914,3.53,0.4199999868869781,156.0,0.28,5
9.4,0.049,0.51,0.99548,3.16,0.5400000214576721,200.0,0.27,4
10.5,0.033,0.33,0.9922,3.12,0.3799999952316284,72.0,0.18,7
10.7,0.04,0.3,0.99222,3.28,0.5299999713897705,84.0,0.27,6
9.0,0.051,0.3,0.99835,3.04,0.5400000214576721,118.0,0.23,6
9.4,0.048,0.24,0.9957,3.23,0.6200000047683716,228.0,0.32,6
9.7,0.058,0.29,0.9978,3.15,0.3700000047683716,110.0,0.15,6
10.2,0.04,0.4,0.9923,2.94,0.3199999928474426,107.0,0.18,7
9.8,0.049,0.17,0.993,3.0,0.3799999952316284,82.0,0.17,6
10.8,0.033,0.38,0.9909,3.12,0.5899999737739563,69.0,0.315,6
10.8,0.047,0.31,0.993,3.22,0.550000011920929,106.0,0.24,6
10.7,0.063,0.35,0.99184,3.22,0.5,119.0,0.31,5
9.7,0.044,0.34,0.99526,3.22,0.4799999892711639,212.0,0.32,6
9.2,0.056,0.64,0.9972,3.05,0.3899999856948852,105.0,0.33,5
10.6,0.069,0.4,0.9928,3.42,0.4300000071525574,156.0,0.21,6
10.1,0.037,0.3,0.992,3.54,0.5600000023841858,152.0,0.31,6
9.1,0.056,0.36,1.0,3.42,0.3499999940395355,163.0,0.18,6
9.7,0.05,0.46,0.99524,3.28,0.5799999833106995,102.0,0.25,5
11.7,0.03,0.3,0.9927,3.53,0.7900000214576721,164.0,0.41,7
9.5,0.056,0.34,0.99434,3.1,0.5099999904632568,176.0,0.25,5
9.6,0.054,0.44,0.9952,3.04,0.4399999976158142,160.0,0.31,5
9.2,0.042,0.13,0.996,3.23,0.3700000047683716,117.0,0.32,5
10.6,0.034,0.28,0.99246,3.28,0.5699999928474426,109.0,0.33,6
12.2,0.039,0.35,0.9918,3.17,0.6399999856948853,125.0,0.32,6
10.4,0.045,0.3,0.992,3.31,0.5400000214576721,61.0,0.24,5
10.0,0.048,0.23,0.99382,3.08,0.5400000214576721,147.0,0.17,5
9.3,0.046,0.3,0.99413,3.03,0.3799999952316284,199.0,0.18,5
9.0,0.05,0.16,0.9959,3.17,0.4900000095367431,191.0,0.3,5
11.1,0.023,0.28,0.99062,2.92,0.3600000143051147,87.0,0.2,6
12.1,0.04,0.34,0.99111,3.28,0.4799999892711639,121.0,0.28,7
9.1,0.053,0.3,0.9986,3.14,0.4900000095367431,229.0,0.19,7
10.4,0.057,0.49,0.9928,3.07,0.3799999952316284,73.0,0.23,6
9.4,0.052,0.14,0.99475,3.21,0.4799999892711639,128.0,0.33,5
9.2,0.108,0.09,0.9938,3.07,0.5699999928474426,151.0,0.55,4
9.6,0.036,0.31,0.9979,3.26,0.5600000023841858,179.0,0.27,5
9.2,0.049,0.32,0.995,3.19,0.6800000071525574,176.0,0.25,6
11.2,0.037,0.24,0.99174,3.23,0.4300000071525574,138.0,0.39,7
8.7,0.045,0.68,0.9978,3.0,0.3600000143051147,133.0,0.21,5
10.5,0.047,0.33,0.9928,3.12,0.4399999976158142,167.0,0.26,6
12.7,0.03,0.26,0.99045,3.15,0.3799999952316284,94.0,0.24,6
11.0,0.039,0.35,0.9908,3.13,0.5199999809265137,191.0,0.25,6
9.8,0.052,0.31,0.9949,3.19,0.4600000083446502,230.0,0.31,5
10.8,0.054,0.32,0.9938,3.2,0.5699999928474426,152.0,0.22,6
10.8,0.028,0.39,0.994,3.11,0.6600000262260437,84.0,0.19,6
10.3,0.048,0.45,0.9944,3.08,0.6100000143051147,72.0,0.27,4
9.7,0.036,0.41,0.9947,3.18,0.5299999713897705,99.0,0.21,6
10.4,0.029,0.28,0.99347,3.24,0.4600000083446502,107.0,0.15,8
10.6,0.018,0.23,0.99178,3.05,0.2800000011920929,128.0,0.23,5
10.2,0.042,0.5,0.9937,3.45,0.5,127.0,0.29,7
10.1,0.043,0.35,0.99392,3.24,0.5,197.0,0.21,6
11.6,0.047,0.48,0.9914,3.19,0.4900000095367431,132.0,0.27,6
10.7,0.046,0.29,0.99462,3.48,0.5699999928474426,134.0,0.34,6
12.3,0.033,0.49,0.9936,3.13,0.3799999952316284,180.0,0.34,8
11.9,0.039,0.49,0.9934,3.03,0.3300000131130218,108.0,0.24,7
11.0,0.041,0.26,0.99142,3.2,0.5299999713897705,110.0,0.24,6
10.3,0.048,0.28,0.9949,3.13,0.4900000095367431,141.0,0.29,6
10.4,0.046,0.54,0.99454,3.19,0.699999988079071,176.0,0.25,5
12.4,0.036,0.26,0.9919,2.98,0.3700000047683716,91.0,0.38,6
10.2,0.055,0.39,0.9951,3.52,0.5400000214576721,198.0,0.22,6
10.3,0.047,0.46,0.99709,3.03,0.5299999713897705,151.0,0.35,5
8.8,0.053,0.32,0.99414,3.38,0.5400000214576721,173.0,0.36,5
11.7,0.035,0.34,0.98993,3.5,0.4199999868869781,86.0,0.2,5
10.7,0.051,0.27,0.9941,3.25,0.5299999713897705,136.0,0.27,6
12.2,0.045,0.31,0.99226,3.06,0.550000011920929,143.0,0.33,6
10.2,0.041,0.32,0.9926,3.39,0.5400000214576721,79.0,0.23,7
11.5,0.043,0.38,0.9934,3.12,0.3199999928474426,152.0,0.22,7
10.9,0.034,0.31,0.99218,3.24,0.4600000083446502,137.0,0.27,6
10.2,0.046,0.44,0.9944,3.14,0.6200000047683716,69.0,0.26,4
9.0,0.058,0.39,0.9979,2.98,0.4799999892711639,192.0,0.23,7
11.2,0.043,0.44,0.9907,3.14,0.7300000190734863,150.0,0.15,7
9.3,0.049,0.26,0.9984,3.15,0.5,196.0,0.27,5
11.8,0.044,0.32,0.99108,3.39,0.4399999976158142,116.0,0.34,7
10.4,0.036,0.36,0.99202,3.43,0.6800000071525574,70.0,0.17,7
10.3,0.038,0.27,0.9927,3.15,0.4600000083446502,122.0,0.24,6
13.4,0.032,0.24,0.98934,3.04,0.2599999904632568,86.0,0.37,8
10.5,0.032,0.27,0.99254,3.4,0.5199999809265137,149.0,0.17,5
11.4,0.048,0.37,0.9917,3.33,0.75,138.0,0.21,7
8.8,0.053,0.44,1.0006,3.28,0.75,145.0,0.17,8
9.4,0.08,0.17,0.99803,3.47,0.6600000262260437,212.0,0.38,4
9.4,0.048,0.32,0.9967,2.92,0.5400000214576721,125.0,0.18,6
8.9,0.056,0.3,0.999,3.14,0.4600000083446502,212.5,0.2,8
12.5,0.029,0.25,0.98972,3.36,0.6600000262260437,118.0,0.3,6
10.7,0.047,0.4,0.9937,3.28,0.4399999976158142,102.0,0.18,5
9.9,0.047,0.27,0.99596,3.34,0.5,101.0,0.17,6
9.4,0.053,0.41,0.99886,3.2,0.6299999952316284,194.0,0.4,6
8.9,0.05,0.36,0.9986,3.04,0.4600000083446502,200.0,0.25,7
8.9,0.043,0.4,0.9996,2.93,0.4699999988079071,156.0,0.29,5
10.5,0.047,0.37,0.9938,3.08,0.6499999761581421,201.0,0.44,4
11.3,0.035,0.27,0.99138,3.04,0.5899999737739563,120.0,0.23,7
8.9,0.048,0.35,0.9975,3.08,0.4000000059604645,229.0,0.28,5
10.8,0.027,0.26,0.99268,3.53,0.5600000023841858,141.0,0.2,6
12.2,0.026,0.23,0.99168,3.18,0.5299999713897705,119.0,0.32,6
10.8,0.03,0.36,0.99201,3.22,0.4799999892711639,73.0,0.44,6
9.9,0.048,0.27,0.99498,3.21,0.5099999904632568,162.0,0.28,5
10.4,0.03,0.35,0.99255,3.22,0.6299999952316284,103.0,0.27,8
11.3,0.044,0.29,0.9918,3.2,0.4799999892711639,143.0,0.18,7
9.5,0.058,0.46,0.996,3.14,0.5799999833106995,133.0,0.28,5
11.1,0.059,0.34,0.9963,3.46,0.6200000047683716,174.0,0.31,7
10.2,0.044,0.28,0.9948,3.16,0.5099999904632568,124.0,0.3,6
11.0,0.039,0.29,0.9952,3.33,0.4600000083446502,130.0,0.24,8
9.0,0.051,0.42,0.9932,3.02,0.4000000059604645,197.0,0.45,5
8.7,0.044,0.63,0.9974,3.09,0.4399999976158142,156.0,0.39,6
11.1,0.054,0.32,0.99154,3.17,0.4799999892711639,105.0,0.25,6
9.5,0.046,0.2,0.99582,3.16,0.5199999809265137,174.0,0.29,5
9.2,0.05,0.34,0.9985,3.21,0.6000000238418579,166.0,0.2,6
10.1,0.048,0.33,0.99472,3.11,0.5199999809265137,176.0,0.23,6
10.4,0.061,0.38,0.99192,3.18,0.4600000083446502,120.0,0.26,5
10.4,0.037,0.28,0.9919,3.32,0.5099999904632568,119.0,0.31,7
10.4,0.05,0.31,0.99596,3.28,0.5699999928474426,213.0,0.2,6
12.8,0.027,0.37,0.98939,3.24,0.3700000047683716,125.0,0.18,7
11.3,0.037,0.3,0.9909,3.29,0.3799999952316284,130.0,0.17,6
12.5,0.036,0.3,0.99028,3.25,0.6299999952316284,88.0,0.33,7
9.0,0.06,0.24,0.9951,3.25,0.4399999976158142,126.0,0.34,7
10.4,0.04,0.27,0.9932,3.01,0.550000011920929,106.0,0.34,5
12.7,0.04,0.33,0.98934,3.29,0.5,80.0,0.26,6
11.8,0.034,0.49,0.9958,3.14,0.3799999952316284,156.0,0.52,7
10.0,0.047,0.17,0.9932,3.26,0.3199999928474426,26.0,0.52,4
10.2,0.036,0.5,0.9964,3.15,0.550000011920929,167.0,0.2,6
10.3,0.044,0.3,0.99666,3.12,0.5299999713897705,144.0,0.27,6
12.3,0.032,0.31,0.99166,3.35,0.4699999988079071,140.0,0.34,7
12.6,0.035,0.28,0.98959,3.26,0.4199999868869781,117.0,0.29,6
12.3,0.034,0.3,0.9912,3.08,0.3100000023841858,102.0,0.33,7
10.2,0.044,0.41,0.99742,3.24,0.7799999713897705,183.0,0.15,6
11.4,0.043,0.28,0.99033,3.4,0.4099999964237213,100.0,0.2,6
10.7,0.035,0.29,0.99142,3.17,0.550000011920929,140.0,0.105,7
9.4,0.108,0.28,0.99738,2.96,0.5699999928474426,187.0,0.34,5
10.4,0.044,0.19,0.99209,3.19,0.4300000071525574,161.0,0.23,6
11.2,0.055,0.49,0.9917,3.23,0.4699999988079071,150.0,0.16,6
9.6,0.039,0.32,0.9948,3.3,0.6700000166893005,124.0,0.36,5
9.5,0.038,0.31,0.9969,3.12,0.550000011920929,186.0,0.23,6
9.3,0.039,0.26,0.99478,3.36,0.4699999988079071,103.0,0.13,6
9.3,0.04,0.4,0.9953,3.15,0.4600000083446502,169.0,0.31,6
12.5,0.034,0.28,0.99151,2.96,0.3899999856948852,81.0,0.36,6
11.0,0.036,0.42,0.9908,3.18,0.5199999809265137,113.0,0.16,6
9.8,0.035,0.34,0.99232,3.14,0.5,126.0,0.28,6
9.0,0.05,0.34,0.9983,3.03,0.4199999868869781,174.0,0.24,6
8.7,0.046,0.41,0.9998,3.32,0.3899999856948852,145.0,0.24,5
12.6,0.034,0.22,0.9898,3.36,0.4399999976158142,116.0,0.28,6
11.6,0.038,0.42,0.99132,3.36,0.5899999737739563,117.0,0.38,7
10.5,0.05,0.37,0.99546,3.2,0.550000011920929,138.0,0.18,6
11.4,0.042,0.4,0.99177,3.03,0.5,201.0,0.38,5
8.7,0.059,0.25,0.99769,3.14,0.5600000023841858,171.0,0.34,6
11.633333,0.026,0.31,0.9898,3.33,0.4399999976158142,68.0,0.16,6
9.8,0.053,0.28,0.9981,3.14,0.449999988079071,197.0,0.22,6
9.2,0.048,0.37,0.9995,3.03,0.4199999868869781,190.0,0.2,6
12.5,0.025,0.13,0.9913,3.33,0.4799999892711639,173.0,0.44,6
8.9,0.055,0.38,1.0004,3.34,0.8199999928474426,170.0,0.2,6
9.8,0.035,0.31,0.99572,3.08,0.4900000095367431,143.0,0.18,7
8.8,0.051,0.18,0.9964,3.19,0.5,259.0,0.4,5
11.5,0.028,0.28,0.99238,2.94,0.3700000047683716,78.0,0.25,7
8.8,0.038,0.53,0.9955,3.03,0.4199999868869781,234.0,0.25,5
12.6,0.039,0.24,0.9909,3.27,0.3400000035762787,124.0,0.36,7
10.0,0.048,0.22,0.99942,3.47,0.5899999737739563,212.0,0.31,5
8.9,0.038,0.42,0.99628,3.04,0.4399999976158142,182.0,0.17,6
13.0,0.014,0.47,0.98984,3.13,0.3199999928474426,137.0,0.44,8
12.8,0.025,0.24,0.9903,3.34,0.5899999737739563,102.0,0.36,6
8.7,0.05,0.65,0.9976,3.16,0.4199999868869781,192.0,0.46,5
9.5,0.048,0.47,0.9968,3.19,0.5,210.0,0.25,5
9.0,0.058,0.39,0.99755,2.9,0.4600000083446502,172.0,0.23,6
9.6,0.044,0.32,0.9972,3.27,0.5,221.0,0.52,6
12.4,0.033,0.36,0.991,3.11,0.4000000059604645,156.0,0.45,7
10.4,0.043,0.34,0.99305,3.12,0.699999988079071,129.0,0.23,5
11.0,0.051,0.24,0.99306,3.36,0.5199999809265137,149.0,0.32,5
9.3,0.049,0.45,0.9974,3.17,0.5,186.0,0.55,6
10.6,0.044,0.3,0.9949,3.6,0.4099999964237213,160.0,0.21,6
10.6,0.031,0.34,0.9927,3.21,0.3799999952316284,134.0,0.25,6
9.55,0.046,0.4,0.99494,3.15,0.5,170.0,0.34,6
12.4,0.02,0.0,0.98918,3.29,0.3799999952316284,96.0,0.58,6
10.2,0.05,0.21,0.9936,3.25,0.4399999976158142,136.0,0.34,5
11.8,0.041,0.3,0.99065,3.31,0.6100000143051147,82.0,0.3,7
9.1,0.051,0.24,0.9925,3.32,0.4699999988079071,105.0,0.165,5
12.3,0.029,0.46,0.991,3.29,0.6200000047683716,94.0,0.34,6
11.4,0.052,0.49,0.9911,3.15,0.2800000011920929,48.0,0.21,5
13.0,0.021,0.53,0.989315,3.19,0.3100000023841858,101.0,0.25,6
11.2,0.05,0.37,0.99138,3.04,0.5299999713897705,132.0,0.25,6
11.7,0.045,0.32,0.99352,3.09,0.3300000131130218,131.0,0.36,8
10.6,0.027,0.28,0.98985,3.13,0.3199999928474426,28.0,0.17,5
9.6,0.045,0.16,0.9949,3.18,0.4699999988079071,136.0,0.32,6
11.2,0.043,0.32,0.99266,3.24,0.4699999988079071,105.0,0.32,6
10.8,0.034,0.25,0.992,3.47,0.5,136.0,0.32,7
10.1,0.037,0.22,0.9944,3.29,0.3199999928474426,131.0,0.26,5
10.8,0.043,0.33,0.99118,3.04,0.6499999761581421,110.0,0.23,6
11.5,0.027,0.31,0.99165,3.26,0.6000000238418579,72.0,0.46,7
9.1,0.043,0.31,0.99954,2.93,0.5199999809265137,167.0,0.19,7
13.3,0.033,0.42,0.9918,2.98,0.3899999856948852,141.0,0.43,7
11.3,0.045,0.32,0.99135,3.08,0.6000000238418579,100.0,0.22,7
9.5,0.055,0.46,0.9988,3.36,0.3700000047683716,198.0,0.34,6
13.8,0.022,0.22,0.98889,3.33,0.5400000214576721,107.0,0.27,6
10.7,0.05,0.35,0.99244,3.24,0.4199999868869781,163.0,0.32,5
9.6,0.046,0.42,0.9949,3.08,0.4799999892711639,186.0,0.32,5
8.8,0.052,0.37,0.99602,3.24,0.3899999856948852,164.0,0.31,4
12.9,0.035,0.54,0.98976,3.27,0.3400000035762787,155.0,0.29,8
10.4,0.038,0.4,0.99568,3.2,0.4699999988079071,154.0,0.32,6
12.8,0.023,0.24,0.99176,3.14,0.4900000095367431,130.0,0.26,7
9.1,0.036,0.38,0.99712,3.47,0.4799999892711639,196.0,0.35,6
9.75,0.069,0.47,0.99391,3.11,0.4600000083446502,182.0,0.24,5
11.7,0.044,0.36,0.99014,3.15,0.5,68.0,0.125,7
9.3,0.035,0.37,0.99845,3.02,0.4000000059604645,153.0,0.22,5
10.0,0.042,0.37,0.9928,2.99,0.3600000143051147,117.0,0.23,5
11.366667,0.038,0.23,0.99157,3.05,0.3700000047683716,112.0,0.23,6
9.7,0.059,0.31,0.9952,3.29,0.3400000035762787,131.0,0.16,5
9.6,0.057,0.3,0.9978,3.39,0.3799999952316284,185.0,0.16,6
10.3,0.047,0.49,0.9954,3.23,0.4000000059604645,191.0,0.26,6
13.0,0.03,0.25,0.99116,3.09,0.3799999952316284,117.0,0.27,6
9.4,0.043,0.33,0.9968,3.2,0.5199999809265137,152.0,0.41,5
9.4,0.039,0.4,0.99582,3.18,0.5,227.0,0.27,5
11.2,0.045,0.24,0.99196,3.25,0.5299999713897705,161.0,0.24,6
9.2,0.045,0.36,0.9958,3.08,0.4199999868869781,180.0,0.25,5
10.8,0.042,0.43,0.99293,3.05,0.5099999904632568,115.0,0.22,6
10.4,0.018,0.28,0.9926,2.97,0.3499999940395355,72.0,0.2,5
10.4,0.049,0.19,0.9924,3.14,0.4300000071525574,172.0,0.26,6
8.4,0.056,0.12,0.99536,3.06,0.4600000083446502,91.0,0.37,4
13.1,0.024,0.1,0.98816,3.48,0.3400000035762787,111.0,0.46,6
11.7,0.062,0.31,0.9917,3.35,0.4399999976158142,173.0,0.19,6
10.8,0.029,0.31,0.99326,3.08,0.4900000095367431,131.0,0.22,6
9.7,0.054,0.23,0.99836,3.16,0.5,139.0,0.31,4
9.9,0.049,0.26,0.9961,3.14,0.550000011920929,170.0,0.32,6
9.9,0.045,0.3,0.9953,3.12,0.5899999737739563,131.0,0.41,5
12.8,0.047,0.4,0.99,3.13,0.4900000095367431,105.0,0.24,8
8.9,0.044,0.29,0.9991,3.17,0.5799999833106995,177.0,0.35,6
9.6,0.055,0.51,0.99502,3.12,0.449999988079071,177.0,0.35,5
11.2,0.043,0.3,0.99047,2.88,0.4699999988079071,90.0,0.16,6
11.5,0.034,0.41,0.99245,3.18,0.4600000083446502,116.0,0.22,6
13.0,0.032,0.27,0.99088,3.17,0.5299999713897705,118.0,0.58,7
11.0,0.033,0.33,0.9906,3.59,0.3799999952316284,97.0,0.24,8
9.8,0.066,0.25,0.9939,3.25,0.5199999809265137,207.0,0.46,5
10.2,0.04,0.38,0.9932,2.95,0.3899999856948852,143.0,0.16,6
12.7,0.031,0.49,0.9926,3.16,0.270000010728836,151.0,0.44,8
9.2,0.048,0.26,0.99587,3.12,0.3700000047683716,207.0,0.25,5
12.0,0.03,0.24,0.9953,3.13,0.5099999904632568,153.0,0.49,7
10.6,0.034,0.33,0.9934,3.19,0.3899999856948852,127.0,0.17,7
10.1,0.046,0.28,0.9927,3.33,0.3300000131130218,140.0,0.13,7
9.0,0.052,0.57,1.0007,2.98,0.8199999928474426,243.0,0.49,5
10.8,0.054,0.28,0.9924,3.16,0.4000000059604645,99.0,0.19,6
9.1,0.057,0.53,0.99642,3.17,0.4399999976158142,221.0,0.31,5
12.0,0.041,0.32,0.9914,3.43,0.4199999868869781,126.0,0.2,6
11.433333,0.064,0.3,0.99136,3.11,0.4199999868869781,166.0,0.16,6
13.4,0.034,0.33,0.99,3.28,0.5099999904632568,85.0,0.42,6
13.5,0.033,0.4,0.98934,3.2,0.449999988079071,118.0,0.36,7
10.4,0.038,0.29,0.99479,3.23,0.5600000023841858,179.0,0.26,6
10.1,0.059,0.24,0.99773,3.3,0.5,124.0,0.26,5
11.2,0.041,0.29,0.99036,3.26,0.5699999928474426,92.0,0.17,6
9.0,0.05,0.28,0.99971,2.94,0.4300000071525574,154.0,0.17,7
9.5,0.048,0.29,0.99784,3.0,0.6000000238418579,189.0,0.38,6
9.6,0.046,0.26,0.99745,3.16,0.4099999964237213,204.0,0.29,6
9.6,0.052,0.38,0.9958,3.35,0.5199999809265137,182.0,0.17,6
10.8,0.039,0.37,0.99198,3.01,0.6200000047683716,99.0,0.28,5
12.4,0.038,0.0,0.99315,3.44,0.4600000083446502,111.0,0.26,6
10.4,0.032,0.46,0.9909,3.36,0.5,115.0,0.19,6
10.0,0.048,0.49,0.9968,3.09,0.4600000083446502,212.0,0.2,7
8.7,0.047,0.3,0.9981,3.18,0.4900000095367431,237.0,0.34,5
13.0,0.038,0.26,0.99,3.11,0.270000010728836,130.0,0.52,7
11.3,0.046,0.29,0.99033,3.22,0.5299999713897705,92.0,0.19,6
9.0,0.045,0.34,0.9939,3.42,0.5099999904632568,117.0,0.12,6
11.0,0.039,0.3,0.99252,2.91,0.5699999928474426,104.0,0.17,6
